GEO_ID,NAME,housing_units,vacant_units,owner_units,renter_units
1400000US36005033600,"Census Tract 336, Bronx County, New York",2683,45,451,2187
1400000US36005033700,"Census Tract 337, Bronx County, New York",974,107,519,348
1400000US36005033800,"Census Tract 338, Bronx County, New York",1490,65,221,1204
1400000US36005034000,"Census Tract 340, Bronx County, New York",1887,69,317,1501
1400000US36005034200,"Census Tract 342, Bronx County, New York",583,20,337,226
1400000US36005034300,"Census Tract 343, Bronx County, New York",617,53,167,397
1400000US36005034400,"Census Tract 344, Bronx County, New York",659,24,348,287
1400000US36005034500,"Census Tract 345, Bronx County, New York",1565,199,634,732
1400000US36005034800,"Census Tract 348, Bronx County, New York",2206,140,821,1245
1400000US36005035000,"Census Tract 350, Bronx County, New York",718,64,345,309
1400000US36005035100,"Census Tract 351, Bronx County, New York",1203,34,581,588
1400000US36005035600,"Census Tract 356, Bronx County, New York",731,20,490,221
1400000US36005035800,"Census Tract 358, Bronx County, New York",2551,108,1609,834
1400000US36005035900,"Census Tract 359, Bronx County, New York",736,26,28,682
1400000US36005036000,"Census Tract 360, Bronx County, New York",971,45,641,285
1400000US36005036100,"Census Tract 361, Bronx County, New York",2232,78,44,2110
1400000US36005036300,"Census Tract 363, Bronx County, New York",2613,75,195,2343
1400000US36005036400,"Census Tract 364, Bronx County, New York",945,113,508,324
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",1424,35,130,1259
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",779,62,49,668
1400000US36005036700,"Census Tract 367, Bronx County, New York",675,56,121,498
1400000US36005036800,"Census Tract 368, Bronx County, New York",627,27,254,346
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",845,22,0,823
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",818,71,22,725
1400000US36005037000,"Census Tract 370, Bronx County, New York",855,62,473,320
1400000US36005037100,"Census Tract 371, Bronx County, New York",1828,89,181,1558
1400000US36005037200,"Census Tract 372, Bronx County, New York",832,66,239,527
1400000US36005037300,"Census Tract 373, Bronx County, New York",2080,179,268,1633
1400000US36005037400,"Census Tract 374, Bronx County, New York",1622,78,131,1413
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",1340,64,30,1246
1400000US36005037600,"Census Tract 376, Bronx County, New York",837,53,256,528
1400000US36005037800,"Census Tract 378, Bronx County, New York",1151,86,147,918
1400000US36005037900,"Census Tract 379, Bronx County, New York",1606,126,40,1440
1400000US36005038000,"Census Tract 380, Bronx County, New York",2032,117,616,1299
1400000US36005038100,"Census Tract 381, Bronx County, New York",2315,26,181,2108
1400000US36005038200,"Census Tract 382, Bronx County, New York",962,39,436,487
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",1648,82,50,1516
1400000US36005038302,"Census Tract 383.02, Bronx County, New York",2065,90,13,1962
1400000US36005038500,"Census Tract 385, Bronx County, New York",1829,155,26,1648
1400000US36005038600,"Census Tract 386, Bronx County, New York",2822,140,548,2134
1400000US36005038700,"Census Tract 387, Bronx County, New York",1319,122,60,1137
1400000US36005038800,"Census Tract 388, Bronx County, New York",948,79,480,389
1400000US36005038900,"Census Tract 389, Bronx County, New York",1851,184,75,1592
1400000US36005039000,"Census Tract 390, Bronx County, New York",1083,105,232,746
1400000US36005039100,"Census Tract 391, Bronx County, New York",2630,183,140,2307
1400000US36005039200,"Census Tract 392, Bronx County, New York",658,20,139,499
1400000US36005039300,"Census Tract 393, Bronx County, New York",3366,121,186,3059
1400000US36005039400,"Census Tract 394, Bronx County, New York",1715,33,308,1374
